FileName,DevStage,Temp,Date,DevDay,Keeper eggs,blanks,notes
timepoint1_12c_10302019.csv,1,12,10/30/19,15,"A3,A4,B2,B3,C2,D4","A1,A2,A5,A6,B1,B6,C1,C6,D1,D2,D5,D6","B5,C3,C4,C5,D3 stopped spinning"
timepoint1_14.5_10312019_factory_1.csv,1,14.5,10/31/19,16,"A3,A4,B2,B3,B4,C3,C4,C5,D3,D4","A1,A2,A5,A6,B1,B6,C1,C6,D1,D2,D5,D6",
timepoint1_17_1122019_redo.csv,1,17,11/2/19,18,"A1,A3,B2,B5,C1,C2,C3,D3,D5,D6","A2,A4,A5,B1,B3,B4,B6,C4,C5,D1,D2,D4","a6 white spot, c6 O2 leak?"
timepoint2_8C_1142019.csv,2,8,11/4/19,20,"A2,A4,B2,B4,B6,C2,C4,D3,D4,D5","A1,A3,A5,B1,B3,B5,C3,C5,C6,D1,D2,D6","a6 no spin, c1 air bubble"
timepoint2_14.5c_1152019.csv,2,14.5,11/5/19,21,"A1,A2,B1,B2,B4,B5,B6,C4,D2,D3,D4,D5","A3,A4,A5,B3,C1,C2,C3,C6,D1,D6","A6, c5 stopped spinnin"
timepoint2_17_1162019.csv,2,17,11/6/19,22,"A2,A3,A5,B2,B3,B4,B6,C3,C4,C5,C6,D1,D2,D4","A1,A4,A6,B1,B5,C1,C2,D3,D5,D6",
timepoint2_12C_1172019.csv,2,12,11/7/19,23,"A1,A2,A3,A5,C1,C2,C3,C4,C5,C6,D1,D3","A4,A6,B1,B2,B4,B5,B6,D2,D4,D5","b3 unfert, d6 stopped spinning"
timepoint3_8C_11112019.csv,3,8,11/11/19,27,"A3,A4,A6,B2,B3,B4,B6,C1,C6,D1,D2,D4,D5,D6","A1,A2,A5,B1,B5,C2,C3,C4,C5,D3",
timepoint3_17C_11122019.csv,3,17,11/12/19,28,"A3,A5,A6,B2,B5,B6,C1,C2,C3,C4,C5,C6,D4,D5","A1,A2,A4,B1,B3,B4,D1,D2,D3,D6",
timepoint3_14.5_11142019.csv,3,14.5,11/14/19,30,"A2,A4,A5,B1,B3,B4,B5,C1,C3,C4,C5,C6,D3","A1,A3,A6,B2,B6,C2,D1,D2,D4,D5",d6 stirbar not working 
timepoint3_12c_11152019_redo.csv,3,12,11/15/19,31,"A1,A3,A4,B1,B3,B5,B6,C1,C2,C5,C6,D3,D4,D5","A2,A5,A6,B2,B4,C3,C4,D1,D2,D6",
timepoint4_8C_11182019.csv,4,8,11/18/19,34,"A2,A3,A4,A5,B2,B3,B4,B6,C2,C4,C6,D2,D4,D6","A1,A6,B1,B5,C1,C3,C5,D1,D3,D5",
timepoint4_12C_11192019.csv,4,12,11/19/19,35,"A1,A2,A3,A4,A6,B1,B3,B4,B5,B6,C4,C5,D2,D5","A5,B2,C1,C2,C3,C6,D1,D3,D4,D6",
timepoint4_17C_11202019.csv,4,17,11/20/19,36,"A1,A2,A3,A5,A6,B1,B3,C2,C4,C5,D2,D5","A4,B2,B4,B5,C3,C6,D1,D3,D4,D6","b6 no stir bar, c1 2 stir bars"
timepoint4_14.5C_11212019.csv,4,14.5,11/21/19,37,"A2,A3,A5,A6,B2,B3,B5,C2,C4,C5,D1,D2,D4,D5","A1,A4,B1,B4,B6,C1,C3,C6,D3,D6",